,product_id,category,sub_category_name,product_name,product_brand,img_src,combo
2,1604988238_34148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow Ghee,Fresho Organic,https://www.bigbasket.com/media/uploads/p/s/1212447_2-fresho-organic-pure-cow-ghee.jpg,"['2x1 L', '1300.00']"
0,1604988239_98788,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pooja Oil,Anandam,https://www.bigbasket.com/media/uploads/p/s/40141966_2-anandam-pooja-oil.jpg,"['900 g', '107.00']"
1,1604988239_98788,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pooja Oil,Anandam,https://www.bigbasket.com/media/uploads/p/s/40141966_2-anandam-pooja-oil.jpg,"['450 g', '70.00']"
0,1604988241_41988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined Oil - Rice Bran,Fortune,https://www.bigbasket.com/media/uploads/p/s/1204454_1-fortune-refined-oil-rice-bran.jpg,"['1 L', '124.00']"
1,1604988241_41988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined Oil - Rice Bran,Fortune,https://www.bigbasket.com/media/uploads/p/s/1204454_1-fortune-refined-oil-rice-bran.jpg,"['3x1 L', '372.00']"
0,1604988241_25828,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Tasty - Pro Fitness Conscious Edible Oil,Saffola,https://www.bigbasket.com/media/uploads/p/s/100554_6-saffola-tasty-pro-fitness-conscious-edible-oil.jpg,"['3X1 L', '342.00']"
1,1604988241_25828,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Tasty - Pro Fitness Conscious Edible Oil,Saffola,https://www.bigbasket.com/media/uploads/p/s/100554_6-saffola-tasty-pro-fitness-conscious-edible-oil.jpg,"['1 L', '114.00']"
0,1604988243_26148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive Oil - Extra Light,BORGES,https://www.bigbasket.com/media/uploads/p/s/40018242_4-borges-olive-oil-extra-light.jpg,"['250 ml', '274.99']"
1,1604988243_26148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive Oil - Extra Light,BORGES,https://www.bigbasket.com/media/uploads/p/s/40018242_4-borges-olive-oil-extra-light.jpg,"['5 L', '2748.90']"
0,1604988246_90948,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow Desi Ghee,Fresho,https://www.bigbasket.com/media/uploads/p/s/40161682_4-fresho-pure-cow-desi-ghee.jpg,"['1 L', '569.00']"
1,1604988246_90948,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow Desi Ghee,Fresho,https://www.bigbasket.com/media/uploads/p/s/40161682_4-fresho-pure-cow-desi-ghee.jpg,"['500 ml', '289.00']"
2,1604988246_90948,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow Desi Ghee,Fresho,https://www.bigbasket.com/media/uploads/p/s/40161682_4-fresho-pure-cow-desi-ghee.jpg,"['200 ml', '119.00']"
0,1604988249_9668,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Shudhi - Coconut Oil,Kpl,https://www.bigbasket.com/media/uploads/p/s/100079262_4-kpl-shudhi-coconut-oil.jpg,"['1 L', '302.00']"
1,1604988249_9668,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Shudhi - Coconut Oil,Kpl,https://www.bigbasket.com/media/uploads/p/s/100079262_4-kpl-shudhi-coconut-oil.jpg,"['500 ml', '155.00']"
0,1604988251_3428,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Coconad - Coconut Oil,Klf,https://www.bigbasket.com/media/uploads/p/s/262815_2-klf-coconad-coconut-oil.jpg,"['500 ml', '139.50']"
1,1604988251_3428,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Coconad - Coconut Oil,Klf,https://www.bigbasket.com/media/uploads/p/s/262815_2-klf-coconad-coconut-oil.jpg,"['1 L', '265.50']"
0,1604988252_54148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Grb,https://www.bigbasket.com/media/uploads/p/mm/252429_7-grb-ghee.jpg,"['1 L', '638.00']"
1,1604988252_54148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Grb,https://www.bigbasket.com/media/uploads/p/mm/252429_7-grb-ghee.jpg,"['200 ml', '137.00']"
2,1604988252_54148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Grb,https://www.bigbasket.com/media/uploads/p/mm/252429_7-grb-ghee.jpg,"['500 ml', '325.00']"
0,1604988253_68068,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Groundnut Pouch,Dhara,https://www.bigbasket.com/media/uploads/p/mm/1204637_1-dhara-oil-groundnut-pouch.jpg,"['1 L', '178.00']"
1,1604988253_68068,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Groundnut Pouch,Dhara,https://www.bigbasket.com/media/uploads/p/mm/1204637_1-dhara-oil-groundnut-pouch.jpg,"['5 L', '995.00']"
2,1604988253_68068,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Groundnut Pouch,Dhara,https://www.bigbasket.com/media/uploads/p/mm/1204637_1-dhara-oil-groundnut-pouch.jpg,"['3x1 L', '534.00']"
0,1604988256_72708,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Mustard (Kachi Ghani),Dhara,https://www.bigbasket.com/media/uploads/p/mm/212470_4-dhara-oil-mustard-kachi-ghani.jpg,"['1 L', '159.00']"
1,1604988256_72708,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Mustard (Kachi Ghani),Dhara,https://www.bigbasket.com/media/uploads/p/mm/212470_4-dhara-oil-mustard-kachi-ghani.jpg,"['3x1 L', '447.00']"
2,1604988256_72708,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Mustard (Kachi Ghani),Dhara,https://www.bigbasket.com/media/uploads/p/mm/212470_4-dhara-oil-mustard-kachi-ghani.jpg,"['1 L', '149.00']"
0,1604988258_57188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Active Edible Oil,Saffola,https://www.bigbasket.com/media/uploads/p/mm/1205598_2-saffola-active-edible-oil.jpg,"['5 L', '624.98']"
1,1604988258_57188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Active Edible Oil,Saffola,https://www.bigbasket.com/media/uploads/p/mm/1205598_2-saffola-active-edible-oil.jpg,"['2x5L', '1249.96']"
0,1604988259_99748,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Ghee,Amul,https://www.bigbasket.com/media/uploads/p/mm/214784_2-amul-pure-ghee.jpg,"['1 L', '499.00']"
1,1604988259_99748,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Ghee,Amul,https://www.bigbasket.com/media/uploads/p/mm/214784_2-amul-pure-ghee.jpg,"['1 L', '500.00']"
0,1604988260_32228,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Healthy & Tasty - Refined Sunflower Oil,Emami,https://www.bigbasket.com/media/uploads/p/mm/40007926_4-emami-healthy-tasty-refined-sunflower-oil.jpg,"['3x1 L', '387.00']"
1,1604988260_32228,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Healthy & Tasty - Refined Sunflower Oil,Emami,https://www.bigbasket.com/media/uploads/p/mm/40007926_4-emami-healthy-tasty-refined-sunflower-oil.jpg,"['1 L', '129.00']"
0,1604988261_99908,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Grb,https://www.bigbasket.com/media/uploads/p/mm/252423_6-grb-ghee.jpg,"['200 ml', '131.00']"
1,1604988261_99908,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Grb,https://www.bigbasket.com/media/uploads/p/mm/252423_6-grb-ghee.jpg,"['1 L', '596.00']"
2,1604988261_99908,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Grb,https://www.bigbasket.com/media/uploads/p/mm/252423_6-grb-ghee.jpg,"['500 ml', '318.00']"
0,1604988262_55268,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow - Ghee,mother dairy,https://www.bigbasket.com/media/uploads/p/mm/20004136_6-mother-dairy-pure-cow-ghee.jpg,"['1 L', '460.00']"
1,1604988262_55268,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow - Ghee,mother dairy,https://www.bigbasket.com/media/uploads/p/mm/20004136_6-mother-dairy-pure-cow-ghee.jpg,"['500 ml', '238.50']"
0,1604988271_29988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Gingelly Oil - Tilnad 100% Pure,Klf,https://www.bigbasket.com/media/uploads/p/mm/40026099_4-klf-gingelly-oil-tilnad-100-pure.jpg,"['500 ml', '148.50']"
1,1604988271_29988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Gingelly Oil - Tilnad 100% Pure,Klf,https://www.bigbasket.com/media/uploads/p/mm/40026099_4-klf-gingelly-oil-tilnad-100-pure.jpg,"['1000 ml', '325.00']"
0,1604988273_67748,"Foodgrains, Oil & Masala",Edible Oils & Ghee,SuperLite Advanced - Sunflower Oil,Sundrop,https://www.bigbasket.com/media/uploads/p/mm/255501_4-sundrop-superlite-advanced-sunflower-oil.jpg,"['2 L', '406.00']"
1,1604988273_67748,"Foodgrains, Oil & Masala",Edible Oils & Ghee,SuperLite Advanced - Sunflower Oil,Sundrop,https://www.bigbasket.com/media/uploads/p/mm/255501_4-sundrop-superlite-advanced-sunflower-oil.jpg,"['1 L', '200.00']"
2,1604988273_67748,"Foodgrains, Oil & Masala",Edible Oils & Ghee,SuperLite Advanced - Sunflower Oil,Sundrop,https://www.bigbasket.com/media/uploads/p/mm/255501_4-sundrop-superlite-advanced-sunflower-oil.jpg,"['5 L', '1015.00']"
0,1604988274_71908,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined- Sunflower Oil With Nutri-V Pouch,Gemini,https://www.bigbasket.com/media/uploads/p/mm/1204630_1-gemini-refined-sunflower-oil-with-nutri-v-pouch.jpg,"['1 L', '136.00']"
1,1604988274_71908,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined- Sunflower Oil With Nutri-V Pouch,Gemini,https://www.bigbasket.com/media/uploads/p/mm/1204630_1-gemini-refined-sunflower-oil-with-nutri-v-pouch.jpg,"['3x1 L', '408.00']"
2,1604988274_71908,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined- Sunflower Oil With Nutri-V Pouch,Gemini,https://www.bigbasket.com/media/uploads/p/mm/1204630_1-gemini-refined-sunflower-oil-with-nutri-v-pouch.jpg,"['5 L', '679.00']"
0,1604988288_49828,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined Oil - Soya Bean,Fortune,https://www.bigbasket.com/media/uploads/p/mm/1204453_1-fortune-refined-oil-soya-bean.jpg,"['5x1 L', '650.00']"
1,1604988288_49828,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined Oil - Soya Bean,Fortune,https://www.bigbasket.com/media/uploads/p/mm/1204453_1-fortune-refined-oil-soya-bean.jpg,"['1 L', '130.00']"
2,1604988288_49828,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined Oil - Soya Bean,Fortune,https://www.bigbasket.com/media/uploads/p/mm/1204453_1-fortune-refined-oil-soya-bean.jpg,"['3x1 L', '390.00']"
0,1604988289_24708,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E),Dhara,https://www.bigbasket.com/media/uploads/p/mm/298198_4-dhara-refined-oil-rice-bran-natural-oryzanol-vitamin-e.jpg,"['3x1 L', '366.00']"
1,1604988289_24708,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E),Dhara,https://www.bigbasket.com/media/uploads/p/mm/298198_4-dhara-refined-oil-rice-bran-natural-oryzanol-vitamin-e.jpg,"['1 L', '122.00']"
0,1604988293_39268,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Heart,Sundrop,https://www.bigbasket.com/media/uploads/p/mm/148676_3-sundrop-oil-heart.jpg,"['3x1 L', '630.00']"
1,1604988293_39268,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Heart,Sundrop,https://www.bigbasket.com/media/uploads/p/mm/148676_3-sundrop-oil-heart.jpg,"['1 L', '210.00']"
0,1604988294_32228,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Tilnad Sesame Oil,Klf,https://www.bigbasket.com/media/uploads/p/mm/40141896_2-klf-tilnad-sesame-oil.jpg,"['500 ml', '151.45']"
1,1604988294_32228,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Tilnad Sesame Oil,Klf,https://www.bigbasket.com/media/uploads/p/mm/40141896_2-klf-tilnad-sesame-oil.jpg,"['1 L', '287.55']"
2,1604988294_32228,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Tilnad Sesame Oil,Klf,https://www.bigbasket.com/media/uploads/p/mm/40141896_2-klf-tilnad-sesame-oil.jpg,"['200 ml', '70.00']"
0,1604988296_29988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Coconut Oil - Virgin (Cold Pressed),Maxcare,https://www.bigbasket.com/media/uploads/p/mm/40020037_3-maxcare-coconut-oil-virgin-cold-pressed.jpg,"['500 ml', '375.00']"
1,1604988296_29988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Coconut Oil - Virgin (Cold Pressed),Maxcare,https://www.bigbasket.com/media/uploads/p/mm/40020037_3-maxcare-coconut-oil-virgin-cold-pressed.jpg,"['1 L', '700.00']"
2,1604988296_29988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Coconut Oil - Virgin (Cold Pressed),Maxcare,https://www.bigbasket.com/media/uploads/p/mm/40020037_3-maxcare-coconut-oil-virgin-cold-pressed.jpg,"['250 ml', '220.00']"
0,1604988300_77988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Oil - Gold Lite, Pouch",Sundrop,https://www.bigbasket.com/media/uploads/p/mm/1203636_2-sundrop-oil-gold-lite-pouch.jpg,"['2x1 L', '312.00']"
1,1604988300_77988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Oil - Gold Lite, Pouch",Sundrop,https://www.bigbasket.com/media/uploads/p/mm/1203636_2-sundrop-oil-gold-lite-pouch.jpg,"['1 L', '156.00']"
2,1604988300_77988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Oil - Gold Lite, Pouch",Sundrop,https://www.bigbasket.com/media/uploads/p/mm/1203636_2-sundrop-oil-gold-lite-pouch.jpg,"['3x1 L', '468.00']"
3,1604988300_77988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Oil - Gold Lite, Pouch",Sundrop,https://www.bigbasket.com/media/uploads/p/mm/1203636_2-sundrop-oil-gold-lite-pouch.jpg,"['5 L', '713.00']"
0,1604988302_41348,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cows Ghee,Sri Sri Tattva,https://www.bigbasket.com/media/uploads/p/mm/40118697_4-sri-sri-tattva-cows-ghee.jpg,"['1 L', '590.00']"
1,1604988302_41348,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cows Ghee,Sri Sri Tattva,https://www.bigbasket.com/media/uploads/p/mm/40118697_4-sri-sri-tattva-cows-ghee.jpg,"['500 ml', '295.00']"
0,1604988303_45348,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Coconut Oil - Nirmal Cold Press Virgin,Klf,https://www.bigbasket.com/media/uploads/p/mm/40026102_6-klf-coconut-oil-nirmal-cold-press-virgin.jpg,"['250 ml', '174.99']"
1,1604988303_45348,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Coconut Oil - Nirmal Cold Press Virgin,Klf,https://www.bigbasket.com/media/uploads/p/mm/40026102_6-klf-coconut-oil-nirmal-cold-press-virgin.jpg,"['500 ml', '328.99']"
0,1604988306_45188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive Pomace Oil,Leonardo,https://www.bigbasket.com/media/uploads/p/mm/100550847_12-leonardo-olive-pomace-oil.jpg,"['1 L', '456.00']"
1,1604988306_45188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive Pomace Oil,Leonardo,https://www.bigbasket.com/media/uploads/p/mm/100550847_12-leonardo-olive-pomace-oil.jpg,"['5 L', '1813.00']"
0,1604988307_78948,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Milky Mist,https://www.bigbasket.com/media/uploads/p/mm/40019837_4-milky-mist-ghee.jpg,"['200 g', '135.00']"
1,1604988307_78948,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Milky Mist,https://www.bigbasket.com/media/uploads/p/mm/40019837_4-milky-mist-ghee.jpg,"['500 g', '330.00']"
0,1604988308_38628,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Heart,Sundrop,https://www.bigbasket.com/media/uploads/p/mm/278734_9-sundrop-oil-heart.jpg,"['2 L', '426.00']"
1,1604988308_38628,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Heart,Sundrop,https://www.bigbasket.com/media/uploads/p/mm/278734_9-sundrop-oil-heart.jpg,"['5 L', '1013.00']"
0,1604988309_39908,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Milky Mist,https://www.bigbasket.com/media/uploads/p/mm/40019839_4-milky-mist-ghee.jpg,"['1 L', '645.00']"
1,1604988309_39908,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Milky Mist,https://www.bigbasket.com/media/uploads/p/mm/40019839_4-milky-mist-ghee.jpg,"['200 ml', '140.00']"
2,1604988309_39908,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,Milky Mist,https://www.bigbasket.com/media/uploads/p/mm/40019839_4-milky-mist-ghee.jpg,"['500 ml', '335.00']"
0,1604988310_73828,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Nakshatra Pooja Oil,Mr. Gold,https://www.bigbasket.com/media/uploads/p/mm/40141960_2-mr-gold-nakshatra-pooja-oil.jpg,"['500 ml', '85.00']"
1,1604988310_73828,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Nakshatra Pooja Oil,Mr. Gold,https://www.bigbasket.com/media/uploads/p/mm/40141960_2-mr-gold-nakshatra-pooja-oil.jpg,"['1 L', '166.50']"
0,1604988312_77188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Vivo Pro Sugar Conscious Edible Oil,Fortune,https://www.bigbasket.com/media/uploads/p/mm/1212003_1-fortune-vivo-pro-sugar-conscious-edible-oil.jpg,"['1 L', '115.00']"
1,1604988312_77188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Vivo Pro Sugar Conscious Edible Oil,Fortune,https://www.bigbasket.com/media/uploads/p/mm/1212003_1-fortune-vivo-pro-sugar-conscious-edible-oil.jpg,"['2x1 L', '230.00']"
2,1604988312_77188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Vivo Pro Sugar Conscious Edible Oil,Fortune,https://www.bigbasket.com/media/uploads/p/mm/1212003_1-fortune-vivo-pro-sugar-conscious-edible-oil.jpg,"['5 L', '599.00']"
3,1604988312_77188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Vivo Pro Sugar Conscious Edible Oil,Fortune,https://www.bigbasket.com/media/uploads/p/mm/1212003_1-fortune-vivo-pro-sugar-conscious-edible-oil.jpg,"['3 x 1 L', '345.00']"
0,1604988314_57028,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Virgin Coconut Oil,Chekko,https://www.bigbasket.com/media/uploads/p/mm/40108962_1-chekko-cold-pressed-virgin-coconut-oil.jpg,"['1 L', '395.01']"
1,1604988314_57028,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Virgin Coconut Oil,Chekko,https://www.bigbasket.com/media/uploads/p/mm/40108962_1-chekko-cold-pressed-virgin-coconut-oil.jpg,"['500 ml', '208.01']"
0,1604988315_85828,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Primio Refined Groundnut,Rro,https://www.bigbasket.com/media/uploads/p/mm/100105_5-rro-oil-primio-refined-groundnut.jpg,"['5 L', '1050.00']"
1,1604988315_85828,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Primio Refined Groundnut,Rro,https://www.bigbasket.com/media/uploads/p/mm/100105_5-rro-oil-primio-refined-groundnut.jpg,"['1 L', '220.00']"
0,1604988319_94148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,RKG AGMARK GHEE,https://www.bigbasket.com/media/uploads/p/mm/40128780_2-rkg-agmark-ghee-ghee.jpg,"['1 L', '668.00']"
1,1604988319_94148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,RKG AGMARK GHEE,https://www.bigbasket.com/media/uploads/p/mm/40128780_2-rkg-agmark-ghee-ghee.jpg,"['500 ml', '348.00']"
2,1604988319_94148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,RKG AGMARK GHEE,https://www.bigbasket.com/media/uploads/p/mm/40128780_2-rkg-agmark-ghee-ghee.jpg,"['200 ml', '149.00']"
3,1604988319_94148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee,RKG AGMARK GHEE,https://www.bigbasket.com/media/uploads/p/mm/40128780_2-rkg-agmark-ghee-ghee.jpg,"['100 ml', '78.00']"
0,1604988321_53668,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Smart Edible Oil - Enriched With Vitamin A, D , E & K",Oleev,https://www.bigbasket.com/media/uploads/p/mm/40113015_8-oleev-smart-edible-oil-enriched-with-vitamin-a-d-e-k.jpg,"['5 L', '709.00']"
1,1604988321_53668,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Smart Edible Oil - Enriched With Vitamin A, D , E & K",Oleev,https://www.bigbasket.com/media/uploads/p/mm/40113015_8-oleev-smart-edible-oil-enriched-with-vitamin-a-d-e-k.jpg,"['1 L', '140.00']"
